Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578264948.54762,19.35,999.56,0.0,23.88,998.6,0.0,21.79,999.47,0.0
1578265098.5321248,19.33,999.58,0.0,23.85,998.62,0.0,21.77,999.49,0.0
1578265248.5182283,19.3,999.58,0.0,23.85,998.63,0.0,21.73,999.51,0.0
1578265398.5021098,19.28,999.62,0.0,23.84,998.65,0.0,21.7,999.53,0.0
1578265548.4728076,19.26,999.56,0.0,23.83,998.61,0.0,21.68,999.54,0.0
1578265698.459324,19.24,999.61,0.0,23.82,998.64,0.0,21.63,999.5,0.0
1578265848.428746,19.22,999.67,0.0,23.82,998.64,0.0,21.59,999.51,0.0
1578265998.4151835,19.2,999.66,0.0,23.79,998.67,0.0,21.57,999.57,0.0
1578266148.4013636,19.17,999.61,0.0,23.78,998.63,0.0,21.55,999.53,0.0
1578266298.3713424,19.14,999.64,0.0,23.76,998.66,0.0,21.53,999.52,0.0
1578266448.352438,19.12,999.63,0.0,23.75,998.67,0.0,21.49,999.58,0.0
1578266598.3574758,19.1,999.61,0.0,23.74,998.64,0.0,21.45,999.57,0.0
1578266748.3143206,19.08,999.64,0.0,23.74,998.64,0.0,21.42,999.55,0.0
1578266898.299119,19.06,999.62,0.0,23.7,998.64,0.0,21.39,999.57,0.0
1578267048.2840765,19.04,999.59,0.0,23.7,998.64,0.0,21.36,999.56,0.0
1578267198.2869813,19.01,999.52,0.0,23.66,998.52,0.0,21.34,999.52,0.0
1578267348.2408419,19.0,999.51,0.0,23.66,998.52,0.0,21.31,999.45,0.0
1578267498.2118742,18.97,999.47,0.0,23.63,998.48,0.0,21.26,999.43,0.0
1578267648.196226,18.95,999.33,0.0,23.61,998.32,0.0,21.24,999.39,0.0
1578267798.1825206,18.92,999.25,0.0,23.59,998.24,0.0,21.21,999.26,0.0
1578267948.1526127,18.9,999.22,0.0,23.57,998.2,0.0,21.17,999.19,0.0
1578268098.1548781,18.88,999.24,0.0,23.56,998.24,0.0,21.13,999.17,0.0
1578268248.1073868,18.85,999.26,0.0,23.56,998.24,0.0,21.1,999.18,0.0
1578268398.094451,18.82,999.24,0.0,23.52,998.24,0.0,21.07,999.21,0.0
1578268548.079838,18.79,999.22,0.0,23.5,998.24,0.0,21.05,999.2,0.0
1578268698.080434,18.76,999.23,0.0,23.47,998.23,0.0,21.0,999.17,0.0
1578268848.035119,18.74,999.24,0.0,23.47,998.23,0.0,20.95,999.19,0.0
1578268998.0374231,18.71,999.24,0.0,23.43,998.24,0.0,20.91,999.18,0.0
1578269147.992647,18.69,999.2,0.0,23.41,998.19,0.0,20.86,999.18,0.0
1578269297.9767601,18.66,999.2,0.0,23.39,998.18,0.0,20.82,999.13,0.0
1578269447.9784129,18.64,999.19,0.0,23.37,998.15,0.0,20.77,999.14,0.0
1578269597.9327185,18.61,999.19,0.0,23.37,998.15,0.0,20.74,999.11,0.0
1578269747.9350483,18.59,999.25,0.0,23.32,998.19,0.0,20.71,999.12,0.0
1578269897.8879323,18.56,999.26,0.0,23.32,998.19,0.0,20.66,999.16,0.0
1578270047.87019,18.54,999.27,0.0,23.24,998.22,0.0,20.62,999.16,0.0
1578270197.8458548,18.5,999.26,0.0,23.24,998.22,0.0,20.58,999.17,0.0
1578270347.845295,18.47,999.28,0.0,23.2,998.23,0.0,20.54,999.18,0.0
1578270497.7997506,18.45,999.34,0.0,23.2,998.23,0.0,20.5,999.19,0.0
